week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,BRIM,DKGG,94.6,100.5,DKGG,5.9
1,2,CHLK,MRYJ,99.12,91.88,CHLK,7.24
1,3,JAG,PTB,122.96,100.24,JAG,22.72
1,4,MXBN,SSS,74.22,98.86,SSS,24.64
1,5,WWZ,DPCX,95.38,105.56,DPCX,10.18
1,6,LNO,GFM,84.04,91.96,GFM,7.92
2,1,GFM,MRYJ,97.0,103.62,MRYJ,6.62
2,2,SSS,DKGG,112.62,96.98,SSS,15.64
2,3,LNO,WWZ,76.46,92.38,WWZ,15.92
2,4,PTB,DPCX,81.76,104.86,DPCX,23.1
2,5,MXBN,BRIM,79.06,117.06,BRIM,38.0
2,6,JAG,CHLK,110.02,82.42,JAG,27.6
3,1,BRIM,WWZ,104.5,105.62,WWZ,1.12
3,2,SSS,GFM,83.88,78.56,SSS,5.32
3,3,MRYJ,JAG,139.9,88.7,MRYJ,51.2
3,4,DPCX,CHLK,90.24,137.84,CHLK,47.6
3,5,LNO,MXBN,122.78,87.92,LNO,34.86
3,6,DKGG,PTB,46.84,98.86,PTB,52.02
4,1,DPCX,GFM,86.52,77.12,DPCX,9.4
4,2,LNO,JAG,95.82,73.86,LNO,21.96
4,3,SSS,BRIM,84.4,112.4,BRIM,28.0
4,4,CHLK,DKGG,116.58,98.56,CHLK,18.02
4,5,PTB,MRYJ,85.28,113.22,MRYJ,27.94
4,6,MXBN,WWZ,94.94,70.8,MXBN,24.14
5,1,WWZ,PTB,98.44,94.76,WWZ,3.68
5,2,DKGG,MXBN,106.68,141.46,MXBN,34.78
5,3,LNO,SSS,124.62,83.24,LNO,41.38
5,4,DPCX,MRYJ,63.1,97.3,MRYJ,34.2
5,5,JAG,GFM,78.96,104.28,GFM,25.32
5,6,CHLK,BRIM,110.56,91.3,CHLK,19.26
6,1,GFM,WWZ,151.3,111.24,GFM,40.06
6,2,JAG,DKGG,66.36,104.88,DKGG,38.52
6,3,MRYJ,BRIM,70.56,65.06,MRYJ,5.5
6,4,PTB,MXBN,74.44,84.72,MXBN,10.28
6,5,LNO,DPCX,72.02,130.72,DPCX,58.7
6,6,SSS,CHLK,86.08,96.8,CHLK,10.72
7,1,GFM,PTB,75.84,111.94,PTB,36.1
7,2,MXBN,JAG,99.44,120.04,JAG,20.6
7,3,BRIM,DPCX,103.12,94.74,BRIM,8.38
7,4,WWZ,DKGG,76.58,92.42,DKGG,15.84
7,5,SSS,MRYJ,90.38,78.86,SSS,11.52
7,6,CHLK,LNO,107.32,86.78,CHLK,20.54
8,1,PTB,CHLK,110.18,87.3,PTB,22.88
8,2,JAG,WWZ,110.84,101.3,JAG,9.54
8,3,MXBN,MRYJ,88.28,74.98,MXBN,13.3
8,4,BRIM,LNO,102.22,99.32,BRIM,2.9
8,5,DPCX,SSS,79.52,102.38,SSS,22.86
8,6,GFM,DKGG,119.32,74.6,GFM,44.72
9,1,MRYJ,WWZ,118.08,75.78,MRYJ,42.3
9,2,BRIM,GFM,137.66,84.46,BRIM,53.2
9,3,DKGG,LNO,76.54,76.36,DKGG,0.18
9,4,CHLK,MXBN,99.02,84.4,CHLK,14.62
9,5,DPCX,JAG,99.98,101.88,JAG,1.9
9,6,PTB,SSS,146.48,60.1,PTB,86.38
10,1,BRIM,PTB,108.48,82.9,BRIM,25.58
10,2,WWZ,CHLK,90.54,129.42,CHLK,38.88
10,3,DKGG,DPCX,75.68,105.02,DPCX,29.34
10,4,MRYJ,LNO,122.1,131.74,LNO,9.64
10,5,SSS,JAG,76.84,107.44,JAG,30.6
10,6,MXBN,GFM,111.34,65.44,MXBN,45.9
11,1,PTB,GFM,91.78,80.92,PTB,10.86
11,2,JAG,MXBN,84.14,89.22,MXBN,5.08
11,3,LNO,CHLK,101.32,103.0,CHLK,1.68
11,4,DPCX,BRIM,64.58,91.48,BRIM,26.9
11,5,SSS,WWZ,69.78,106.0,WWZ,36.22
11,6,MRYJ,DKGG,75.58,79.88,DKGG,4.3
12,1,PTB,WWZ,136.34,92.24,PTB,44.1
12,2,MXBN,DKGG,70.48,64.8,MXBN,5.68
12,3,SSS,LNO,91.24,101.96,LNO,10.72
12,4,MRYJ,DPCX,121.36,96.56,MRYJ,24.8
12,5,GFM,CHLK,81.5,116.5,CHLK,35.0
12,6,BRIM,JAG,94.44,100.92,JAG,6.48
13,1,WWZ,GFM,78.86,114.64,GFM,35.78
13,2,DKGG,JAG,110.02,89.36,DKGG,20.66
13,3,CHLK,SSS,115.94,72.38,CHLK,43.56
