year,round,round_pick,team_abbrev,player_id,player_name,bid_amount,keeper,nominating_team
2021,1,1,PCX,4239993,Tee Higgins,0.0,True,
2021,1,2,MXLB,3117251,Christian McCaffrey,0.0,False,
2021,1,3,MRYJ,3043078,Derrick Henry,0.0,False,
2021,1,4,BNSM,3051392,Ezekiel Elliott,0.0,False,
2021,1,5,JAGB,3128720,Nick Chubb,0.0,False,
2021,1,6,PITB,3929630,Saquon Barkley,0.0,False,
2021,1,7,CHLK,3054850,Alvin Kamara,0.0,False,
2021,1,8,TACT,3042519,Aaron Jones,0.0,False,
2021,1,9,GFM,4360438,Brandon Aiyuk,0.0,True,
2021,1,10,SSBB,4360294,Antonio Gibson,0.0,True,
2021,1,11,WZRD,2976212,Stefon Diggs,0.0,False,
2021,1,12,BRIM,4040980,Irv Smith Jr.,0.0,True,
2021,2,1,PCX,3116593,Dalvin Cook,0.0,False,
2021,2,2,MXLB,2576925,Darren Waller,0.0,False,
2021,2,3,MRYJ,4047646,A.J. Brown,0.0,False,
2021,2,4,BNSM,15795,DeAndre Hopkins,0.0,False,
2021,2,5,JAGB,4035538,David Montgomery,0.0,False,
2021,2,6,PITB,3116385,Joe Mixon,0.0,False,
2021,2,7,CHLK,4047650,DK Metcalf,0.0,False,
2021,2,8,TACT,4242214,Clyde Edwards-Helaire,0.0,False,
2021,2,9,GFM,15847,Travis Kelce,0.0,False,
2021,2,10,SSBB,4242335,Jonathan Taylor,0.0,False,
2021,2,11,WZRD,16800,Davante Adams,0.0,False,
2021,2,12,BRIM,3139477,Patrick Mahomes,0.0,False,
2021,3,1,PCX,4241457,Najee Harris,0.0,False,
2021,3,2,MXLB,3121422,Terry McLaurin,0.0,False,
2021,3,3,MRYJ,4241985,J.K. Dobbins,0.0,False,
2021,3,4,BNSM,3040151,George Kittle,0.0,False,
2021,3,5,JAGB,3917315,Kyler Murray,0.0,False,
2021,3,6,PITB,16737,Mike Evans,0.0,False,
2021,3,7,CHLK,15818,Keenan Allen,0.0,False,
2021,3,8,TACT,4047365,Josh Jacobs,0.0,False,
2021,3,9,GFM,3116406,Tyreek Hill,0.0,False,
2021,3,10,SSBB,3068267,Austin Ekeler,0.0,False,
