week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,MRYJ,MXLB,133.34,141.54,MXLB,8.2
1,2,DKGG,GFM,101.98,169.74,GFM,67.76
1,3,LNO,PCX,115.36,84.22,LNO,31.14
1,4,JAG,CHLK,45.34,95.66,CHLK,50.32
1,5,BRIM,WZRD,108.66,46.14,BRIM,62.52
1,6,SSS,PITB,80.56,107.22,PITB,26.66
2,1,PITB,CHLK,94.54,112.64,CHLK,18.1
2,2,SSS,JAG,92.4,102.8,JAG,10.4
2,3,LNO,BRIM,60.62,128.88,BRIM,68.26
2,4,DKGG,MRYJ,103.86,129.1,MRYJ,25.24
2,5,GFM,WZRD,119.94,81.48,GFM,38.46
2,6,MXLB,PCX,98.98,88.38,MXLB,10.6
3,1,PCX,DKGG,71.68,79.92,DKGG,8.24
3,2,BRIM,JAG,89.22,80.2,BRIM,9.02
3,3,WZRD,CHLK,81.2,88.54,CHLK,7.34
3,4,MXLB,LNO,112.04,118.34,LNO,6.3
3,5,MRYJ,SSS,126.8,92.04,MRYJ,34.76
3,6,GFM,PITB,96.26,90.38,GFM,5.88
4,1,PITB,JAG,120.66,124.6,JAG,3.94
4,2,DKGG,BRIM,102.26,90.8,DKGG,11.46
4,3,WZRD,MXLB,114.08,80.62,WZRD,33.46
4,4,SSS,PCX,112.48,139.98,PCX,27.5
4,5,CHLK,GFM,137.06,148.76,GFM,11.7
4,6,LNO,MRYJ,64.28,93.0,MRYJ,28.72
5,1,MRYJ,GFM,116.08,152.22,GFM,36.14
5,2,CHLK,SSS,87.9,87.54,CHLK,0.36
5,3,JAG,WZRD,78.7,81.42,WZRD,2.72
5,4,DKGG,LNO,124.24,103.02,DKGG,21.22
5,5,BRIM,MXLB,112.0,99.98,BRIM,12.02
5,6,PITB,PCX,72.0,96.02,PCX,24.02
6,1,MXLB,SSS,93.9,65.32,MXLB,28.58
6,2,PCX,JAG,110.96,91.48,PCX,19.48
6,3,PITB,LNO,136.6,52.84,PITB,83.76
6,4,GFM,BRIM,112.88,98.76,GFM,14.12
6,5,DKGG,WZRD,128.9,103.02,DKGG,25.88
6,6,MRYJ,CHLK,135.6,103.94,MRYJ,31.66
7,1,WZRD,PCX,102.3,109.28,PCX,6.98
7,2,MRYJ,BRIM,121.36,104.96,MRYJ,16.4
7,3,DKGG,PITB,115.08,61.96,DKGG,53.12
7,4,MXLB,CHLK,109.12,85.14,MXLB,23.98
7,5,JAG,LNO,103.76,52.58,JAG,51.18
7,6,SSS,GFM,86.84,123.02,GFM,36.18
8,1,BRIM,SSS,104.88,81.16,BRIM,23.72
