week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,PTB,JAG,87.14,64.62,PTB,22.52
1,2,WWZ,DKGG,74.94,128.84,DKGG,53.9
1,3,BRIM,MRYJ,94.98,115.94,MRYJ,20.96
1,4,CHLK,SSS,60.54,56.1,CHLK,4.44
1,5,LNO,GFM,71.48,83.56,GFM,12.08
1,6,DPCX,MXBN,102.52,103.48,MXBN,0.96
2,1,MXBN,DKGG,92.02,94.82,DKGG,2.8
2,2,SSS,JAG,72.46,101.92,JAG,29.46
2,3,DPCX,LNO,90.12,104.48,LNO,14.36
2,4,MRYJ,GFM,92.34,95.76,GFM,3.42
2,5,CHLK,PTB,83.5,85.02,PTB,1.52
2,6,BRIM,WWZ,73.94,77.08,WWZ,3.14
3,1,PTB,LNO,80.28,105.72,LNO,25.44
3,2,SSS,MXBN,65.86,73.44,MXBN,7.58
3,3,DKGG,BRIM,89.32,100.16,BRIM,10.84
3,4,GFM,WWZ,110.12,65.66,GFM,44.46
3,5,DPCX,CHLK,91.6,95.22,CHLK,3.62
3,6,JAG,MRYJ,74.7,110.7,MRYJ,36.0
4,1,GFM,MXBN,97.38,81.78,GFM,15.6
4,2,DPCX,BRIM,117.3,67.88,DPCX,49.42
4,3,SSS,PTB,44.46,82.48,PTB,38.02
4,4,WWZ,JAG,68.98,80.24,JAG,11.26
4,5,MRYJ,DKGG,124.52,103.96,MRYJ,20.56
4,6,CHLK,LNO,74.34,66.38,CHLK,7.96
5,1,LNO,MRYJ,73.92,58.1,LNO,15.82
5,2,JAG,CHLK,99.34,68.9,JAG,30.44
5,3,DPCX,SSS,88.52,91.18,SSS,2.66
5,4,GFM,DKGG,63.26,101.44,DKGG,38.18
5,5,BRIM,MXBN,82.66,102.86,MXBN,20.2
5,6,WWZ,PTB,101.12,129.74,PTB,28.62
6,1,MXBN,LNO,126.78,64.78,MXBN,62.0
6,2,BRIM,JAG,84.62,134.0,JAG,49.38
6,3,DKGG,PTB,61.12,116.16,PTB,55.04
6,4,MRYJ,CHLK,74.04,102.24,CHLK,28.2
6,5,DPCX,GFM,130.2,58.64,DPCX,71.56
6,6,SSS,WWZ,127.18,75.62,SSS,51.56
7,1,MXBN,MRYJ,111.12,144.44,MRYJ,33.32
7,2,CHLK,BRIM,65.02,80.12,BRIM,15.1
7,3,PTB,GFM,88.36,127.02,GFM,38.66
7,4,LNO,JAG,93.06,70.3,LNO,22.76
7,5,SSS,DKGG,64.76,86.38,DKGG,21.62
7,6,WWZ,DPCX,90.62,123.12,DPCX,32.5
8,1,MRYJ,WWZ,109.76,69.06,MRYJ,40.7
8,2,BRIM,LNO,79.08,64.82,BRIM,14.26
8,3,CHLK,DKGG,116.42,85.62,CHLK,30.8
8,4,PTB,DPCX,76.92,157.88,DPCX,80.96
8,5,GFM,SSS,76.9,73.18,GFM,3.72
8,6,MXBN,JAG,89.04,131.58,JAG,42.54
9,1,DKGG,LNO,90.22,55.0,DKGG,35.22
9,2,PTB,MXBN,76.06,70.16,PTB,5.9
9,3,JAG,DPCX,82.36,92.38,DPCX,10.02
9,4,WWZ,CHLK,85.22,70.5,WWZ,14.72
9,5,GFM,BRIM,84.58,110.24,BRIM,25.66
9,6,MRYJ,SSS,97.72,99.04,SSS,1.32
10,1,PTB,MRYJ,95.54,92.66,PTB,2.88
10,2,LNO,WWZ,73.74,88.7,WWZ,14.96
10,3,JAG,GFM,100.42,60.44,JAG,39.98
10,4,DKGG,DPCX,96.1,76.42,DKGG,19.68
10,5,SSS,BRIM,73.34,104.66,BRIM,31.32
10,6,CHLK,MXBN,102.16,92.52,CHLK,9.64
11,1,MRYJ,MXBN,127.8,121.02,MRYJ,6.78
11,2,BRIM,CHLK,104.16,73.58,BRIM,30.58
11,3,DPCX,WWZ,150.62,98.7,DPCX,51.92
11,4,GFM,PTB,111.4,81.7,GFM,29.7
11,5,SSS,LNO,80.76,92.0,LNO,11.24
11,6,DKGG,JAG,46.4,81.66,JAG,35.26
12,1,MRYJ,LNO,120.04,70.98,MRYJ,49.06
12,2,CHLK,JAG,76.66,130.2,JAG,53.54
12,3,SSS,DPCX,114.14,96.12,SSS,18.02
12,4,DKGG,GFM,49.46,105.38,GFM,55.92
12,5,MXBN,WWZ,96.38,76.78,MXBN,19.6
12,6,PTB,BRIM,76.62,158.66,BRIM,82.04
13,1,LNO,MXBN,59.22,94.32,MXBN,35.1
13,2,JAG,BRIM,108.26,109.96,BRIM,1.7
13,3,WWZ,SSS,76.22,69.5,WWZ,6.72
13,4,DPCX,MRYJ,134.78,132.76,DPCX,2.02
13,5,GFM,CHLK,87.68,88.78,CHLK,1.1
13,6,PTB,DKGG,60.62,109.7,DKGG,49.08
14,1,JAG,AWAY,85.62,0.0,JAG,85.62
14,2,MRYJ,BRIM,139.34,94.06,MRYJ,45.28
14,3,DPCX,DKGG,96.24,92.72,DPCX,3.52
14,4,GFM,AWAY,109.2,0.0,GFM,109.2
14,5,WWZ,LNO,76.84,48.02,WWZ,28.82
14,6,MXBN,SSS,108.24,86.96,MXBN,21.28
14,7,PTB,CHLK,115.28,114.14,PTB,1.14
15,1,JAG,MRYJ,106.6,137.84,MRYJ,31.24
15,2,GFM,DPCX,115.94,102.08,GFM,13.86
15,3,BRIM,DKGG,73.58,123.94,DKGG,50.36
15,4,MXBN,WWZ,93.84,57.78,MXBN,36.06
15,5,PTB,LNO,99.98,54.52,PTB,45.46
15,6,CHLK,SSS,83.54,89.74,SSS,6.2
16,1,GFM,MRYJ,88.06,105.46,MRYJ,17.4
16,2,JAG,DPCX,100.58,107.22,DPCX,6.64
16,3,BRIM,DKGG,95.94,77.76,BRIM,18.18
16,4,PTB,MXBN,63.7,94.38,MXBN,30.68
16,5,CHLK,WWZ,66.6,90.72,WWZ,24.12
16,6,SSS,LNO,77.04,63.76,SSS,13.28
