RFFL HISTORY COLLECTIONS/PAYOUTS
season_year,teams,rs_weeks,ps_weeks,season_primary_dues,season_korm_fee,total_season_dues,korm_1st_usd,korm_2nd_usd,korm_3rd_usd,division_winners_usd,topSeeds_usd,biggest_crank_usd,bowl_alpha_champ_payout_usd,bowl_alpha_runnerup_payout_usd,bowl_alpha_third_payout_usd,bowl_beta_champ_payout_usd
2002,10,1-13,14-16,$100.00,$0.00,$100.00,NA,NA,NA,$25.00,$25.00,$50.00,$600.00,$200.00,$100.00,$100.00
2003,10,1-13,14-16,$100.00,$0.00,$100.00,NA,NA,NA,$25.00,$25.00,$50.00,$600.00,$200.00,$100.00,$100.00
2004,10,1-13,14-16,$100.00,$0.00,$100.00,NA,NA,NA,$25.00,$25.00,$50.00,$600.00,$200.00,$100.00,$100.00
2005,10,1-13,14-16,$125.00,$0.00,$125.00,NA,NA,NA,$31.25,$31.25,$62.50,$750.00,$250.00,$125.00,$125.00
2006,10,1-13,14-16,$125.00,$0.00,$125.00,NA,NA,NA,$31.25,$31.25,$62.50,$750.00,$250.00,$125.00,$125.00
2007,12,1-13,14-16,$150.00,$0.00,$150.00,NA,NA,NA,$37.50,$37.50,$75.00,$900.00,$300.00,$150.00,$150.00
2008,12,1-13,14-16,$150.00,$0.00,$150.00,NA,NA,NA,$37.50,$37.50,$75.00,$900.00,$300.00,$150.00,$150.00
2009,12,1-13,14-16,$150.00,$0.00,$150.00,NA,NA,NA,$37.50,$37.50,$75.00,$900.00,$300.00,$150.00,$150.00
2010,12,1-13,14-16,$150.00,$0.00,$150.00,NA,NA,NA,$37.50,$37.50,$75.00,$900.00,$300.00,$150.00,$150.00
2011,12,1-13,14-16,$150.00,$0.00,$150.00,NA,NA,NA,$37.50,$37.50,$75.00,$900.00,$300.00,$150.00,$150.00
2012,12,1-13,14-16,$150.00,$0.00,$150.00,NA,NA,NA,$37.50,$37.50,$75.00,$900.00,$300.00,$150.00,$150.00
2013,12,1-13,14-16,$175.00,$0.00,$175.00,NA,NA,NA,$43.75,$43.75,$87.50,$1,050.00,$350.00,$175.00,$175.00
2014,12,1-13,14-16,$175.00,$0.00,$175.00,NA,NA,NA,$43.75,$43.75,$87.50,$1,050.00,$350.00,$175.00,$175.00
2015,12,1-13,14-16,$200.00,$0.00,$200.00,NA,NA,NA,$50.00,$50.00,$100.00,$1,200.00,$400.00,$200.00,$200.00
2016,12,1-13,14-16,$250.00,$0.00,$250.00,NA,NA,NA,$62.50,$62.50,$125.00,$1,500.00,$500.00,$250.00,$250.00
2017,12,1-13,14-16,$250.00,$0.00,$250.00,NA,NA,NA,$62.50,$62.50,$125.00,$1,500.00,$500.00,$250.00,$250.00
2018,12,1-13,14-16,$300.00,$40.00,$340.00,$320.00,$120.00,$40.00,$75.00,$75.00,$150.00,$1,800.00,$600.00,$300.00,$300.00
2019,12,1-13,14-16,$400.00,$100.00,$500.00,$800.00,$300.00,$100.00,$100.00,$100.00,$200.00,$2,400.00,$800.00,$400.00,$400.00
2020,12,1-13,14-16,$400.00,$100.00,$500.00,$800.00,$300.00,$100.00,$100.00,$100.00,$200.00,$2,400.00,$800.00,$400.00,$400.00
2021,12,1-14,15-17,$450.00,$100.00,$550.00,$800.00,$300.00,$100.00,$112.50,$112.50,$225.00,$2,700.00,$900.00,$450.00,$450.00
2022,12,1-14,15-17,$500.00,$100.00,$600.00,$800.00,$300.00,$100.00,$125.00,$125.00,$250.00,$3,000.00,$1,000.00,$500.00,$500.00
2023,12,1-14,15-17,$500.00,$100.00,$600.00,$800.00,$300.00,$100.00,$125.00,$125.00,$250.00,$3,000.00,$1,000.00,$500.00,$500.00
2024,12,1-14,15-17,$500.00,$100.00,$600.00,$800.00,$300.00,$100.00,$125.00,$125.00,$250.00,$3,000.00,$1,000.00,$500.00,$500.00
2025,12,1-14,15-17,$500.00,$100.00,$600.00,$800.00,$300.00,$100.00,$125.00,$125.00,$250.00,$3,000.00,$1,000.00,$500.00,$500.00
