season_year,week,matchup,team_code,slot,player_name,nfl_team,position,is_starter
2011,1,1,PCX,QB,Michael Vick,PHI,QB,True
2011,1,1,PCX,RB,Peyton Hillis,CLE,RB,True
2011,1,1,PCX,WR,DeSean Jackson,PHI,WR,True
2011,1,1,PCX,WR,Steve Johnson,BUF,WR,True
2011,1,1,PCX,Bench,Kendall Hunter,SF,RB,False
2011,1,1,PCX,WR,Nate Washington,TEN,WR,True
2011,1,1,PCX,TE,Aaron Hernandez,NE,TE,True
2011,1,1,PCX,D/ST,Eagles D/ST,PHI,D/ST,True
2011,1,1,PCX,Bench,Danny Woodhead,NE,RB,False
2011,1,1,PCX,Bench,Donald Brown,IND,RB,False
2011,1,1,PCX,Bench,Javon Ringer,TEN,RB,False
2011,1,1,PCX,Bench,Joe Flacco,BAL,QB,False
2011,1,1,PCX,Bench,Greg Little,CLE,WR,False
2011,1,1,PCX,RB,Kevin Smith,DET,RB,True
2011,1,1,PCX,K,Ryan Longwell,MIN,K,True
2011,1,1,PCX,Bench,Chargers D/ST,LAC,D/ST,False
2011,1,1,GFM,RB,LeSean McCoy,PHI,RB,True
2011,1,1,GFM,WR,Roddy White,ATL,WR,True
2011,1,1,GFM,RB,Steven Jackson,LAR,RB,True
2011,1,1,GFM,WR,Jeremy Maclin,PHI,WR,True
2011,1,1,GFM,TE,Tony Gonzalez,ATL,TE,True
2011,1,1,GFM,Bench,Lions D/ST,DET,D/ST,False
2011,1,1,GFM,Bench,Jackie Battle,KC,RB,False
2011,1,1,GFM,QB,Tim Tebow,DEN,QB,True
2011,1,1,GFM,K,Jason Hanson,DET,K,True
2011,1,1,GFM,Bench,Riley Cooper,PHI,WR,False
2011,1,1,GFM,D/ST,Broncos D/ST,DEN,D/ST,True
2011,1,1,GFM,Bench,Donald Driver,GB,WR,False
2011,1,1,GFM,Bench,Denarius Moore,LV,WR,False
2011,1,1,GFM,Bench,Matt Moore,MIA,QB,False
2011,1,1,GFM,WR,Randall Cobb,GB,WR,True
2011,1,1,GFM,Bench,Titus Young,DET,WR,False
2011,1,1,2SCM,RB,Maurice Jones-Drew,JAX,RB,True
2011,1,1,2SCM,RB,Frank Gore,SF,RB,True
2011,1,1,2SCM,QB,Matt Ryan,ATL,QB,True
2011,1,1,2SCM,WR,Percy Harvin,MIN,WR,True
2011,1,1,2SCM,TE,Jason Witten,DAL,TE,True
2011,1,1,2SCM,Bench,Cedric Benson,CIN,RB,False
2011,1,1,2SCM,Bench,Ryan Fitzpatrick,BUF,QB,False
