week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,GOW,BBRS,112.0,119.0,BBRS,7.0
1,2,GFM,AC,110.0,81.0,GFM,29.0
1,3,mji,PTB,94.0,101.0,PTB,7.0
1,4,KNAB,2SCM,93.0,95.0,2SCM,2.0
1,5,BBWZ,COCK,87.0,80.0,BBWZ,7.0
1,6,DKGG,SWEE,128.0,76.0,DKGG,52.0
2,1,2SCM,GFM,66.0,80.0,GFM,14.0
2,2,KNAB,mji,80.0,88.0,mji,8.0
2,3,GOW,COCK,70.0,93.0,COCK,23.0
2,4,PTB,DKGG,128.0,96.0,PTB,32.0
2,5,BBRS,BBWZ,107.0,104.0,BBRS,3.0
2,6,SWEE,AC,66.0,89.0,AC,23.0
3,1,2SCM,GOW,50.0,64.0,GOW,14.0
3,2,COCK,DKGG,121.0,61.0,COCK,60.0
3,3,PTB,KNAB,107.0,97.0,PTB,10.0
3,4,GFM,mji,131.0,73.0,GFM,58.0
3,5,AC,BBRS,73.0,110.0,BBRS,37.0
3,6,SWEE,BBWZ,114.0,79.0,SWEE,35.0
4,1,AC,KNAB,82.0,76.0,AC,6.0
4,2,BBRS,SWEE,123.0,90.0,BBRS,33.0
4,3,GOW,BBWZ,105.0,94.0,GOW,11.0
4,4,DKGG,2SCM,110.0,111.0,2SCM,1.0
4,5,mji,COCK,73.0,101.0,COCK,28.0
4,6,PTB,GFM,131.0,94.0,PTB,37.0
5,1,DKGG,mji,84.0,55.0,DKGG,29.0
5,2,BBWZ,AC,87.0,108.0,AC,21.0
5,3,GFM,GOW,91.0,86.0,GFM,5.0
5,4,KNAB,BBRS,52.0,110.0,BBRS,58.0
5,5,COCK,SWEE,83.0,60.0,COCK,23.0
5,6,2SCM,PTB,140.0,106.0,2SCM,34.0
6,1,GFM,BBWZ,134.0,60.0,GFM,74.0
6,2,mji,AC,65.0,66.0,AC,1.0
6,3,DKGG,GOW,61.0,130.0,GOW,69.0
6,4,COCK,2SCM,129.0,88.0,COCK,41.0
6,5,BBRS,PTB,105.0,72.0,BBRS,33.0
6,6,SWEE,KNAB,97.0,73.0,SWEE,24.0
7,1,GFM,DKGG,94.0,69.0,GFM,25.0
7,2,mji,BBWZ,117.0,99.0,mji,18.0
7,3,AC,GOW,104.0,87.0,AC,17.0
7,4,KNAB,COCK,89.0,63.0,KNAB,26.0
7,5,BBRS,2SCM,112.0,119.0,2SCM,7.0
7,6,PTB,SWEE,103.0,55.0,PTB,48.0
8,1,GFM,SWEE,64.0,80.0,SWEE,16.0
8,2,GOW,PTB,151.0,80.0,GOW,71.0
8,3,DKGG,BBRS,133.0,65.0,DKGG,68.0
8,4,BBWZ,KNAB,59.0,60.0,KNAB,1.0
8,5,mji,2SCM,85.0,51.0,mji,34.0
8,6,COCK,AC,63.0,52.0,COCK,11.0
9,1,GOW,COCK,145.0,116.0,GOW,29.0
9,2,2SCM,SWEE,68.0,108.0,SWEE,40.0
9,3,KNAB,GFM,80.0,90.0,GFM,10.0
9,4,AC,DKGG,66.0,90.0,DKGG,24.0
9,5,mji,PTB,103.0,91.0,mji,12.0
9,6,BBWZ,BBRS,57.0,124.0,BBRS,67.0
10,1,DKGG,BBWZ,94.0,61.0,DKGG,33.0
10,2,BBRS,GFM,136.0,151.0,GFM,15.0
10,3,KNAB,GOW,68.0,98.0,GOW,30.0
10,4,mji,SWEE,107.0,83.0,mji,24.0
10,5,PTB,COCK,125.0,66.0,PTB,59.0
