season_year,week,player_id,player_name,team_id,team_code,stat_id,stat_name,original_value,corrected_value,points_impact,correction_date,rffl_team_code
2020,1,,Broncos D/STDenD/ST,,,,Assisted Tackles (TKA),2,,,,PCX
2020,1,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),1,,,,SSBB
2020,1,,49ers D/STSFD/ST,,,,Passes Defensed (PD),1,,,,DKEG
2020,2,,Keenan AllenLACWR,,,,Receptions (REC),5,,,,JAGB
2020,2,,Bills D/STBufD/ST,,,,Passes Defensed (PD),1,,,,LNO
2020,2,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),-2,,,,CHLK
2020,2,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),2,,,,SSBB
2020,3,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),-1,,,,CHLK
2020,3,,Patriots D/STNED/ST,,,,Assisted Tackles (TKA),3,,,,PITB
2020,3,,Chargers D/STLACD/ST,,,,Assisted Tackles (TKA),-2,,,,GFM
2020,4,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),2,,,,CHLK
2020,4,,49ers D/STSFD/ST,,,,Assisted Tackles (TKA),2,,,,DKEG
2020,5,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),-2,,,,CHLK
2020,5,,49ers D/STSFD/ST,,,,Assisted Tackles (TKA),2,,,,DKEG
2020,6,,Bears D/STChiD/ST,,,,Each Sack (SCK),1,,,,MRYJ
2020,6,,Patriots D/STNED/ST,,,,Assisted Tackles (TKA),3,,,,PITB
2020,9,,Broncos D/STDenD/ST,,,,Passes Defensed (PD),1,,,,DKEG
2020,10,,Saints D/STNOD/ST,,,,Assisted Tackles (TKA),2,,,,WZRD
2020,10,,Giants D/STNYGD/ST,,,,Assisted Tackles (TKA),2,,,,GFM
2020,10,,Seahawks D/STSeaD/ST,,,,Assisted Tackles (TKA),2,,,,PITB
2020,11,,Bills D/STBufD/ST,,,,Assisted Tackles (TKA),-2,,,,LNO
2020,11,,Browns D/STCleD/ST,,,,Assisted Tackles (TKA),-2,,,,PCX
2020,11,,Rams D/STLARD/ST,,,,Assisted Tackles (TKA),3,,,,BRIM
2020,11,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),1,,,,SSBB
2020,12,,Browns D/STCleD/ST,,,,Assisted Tackles (TKA),1,,,,PCX
2020,12,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),-2,,,,CHLK
2020,12,,Rams D/STLARD/ST,,,,Assisted Tackles (TKA),2,,,,BRIM
2020,12,,Giants D/STNYGD/ST,,,,Passes Defensed (PD),1,,,,GFM
2020,12,,Steelers D/STPitD/ST,,,,Passes Defensed (PD),1,,,,SSBB
2020,13,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),2,,,,CHLK
2020,13,,Chiefs D/STKCD/ST,,,,Assisted Tackles (TKA),1,,,,DKEG
2020,13,,Vikings D/STMinD/ST,,,,Each Fumble Recovered (FR),-1,,,,MXLB
2020,13,,Buccaneers D/STTBD/ST,,,,Assisted Tackles (TKA),2,,,,DKEG
2020,14,,Colts D/STIndD/ST,,,,Passes Defensed (PD),1,,,,CHLK
2020,14,,Vikings D/STMinD/ST,,,,Passes Defensed (PD),-1,,,,MXLB
2020,14,,Saints D/STNOD/ST,,,,Passes Defensed (PD),-1,,,,WZRD
2020,14,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),-2,,,,SSBB
2020,14,,Buccaneers D/STTBD/ST,,,,Assisted Tackles (TKA),2,,,,DKEG
2020,15,,Colts D/STIndD/ST,,,,Passes Defensed (PD),1,,,,CHLK
