year,round,round_pick,team_abbrev,player_id,player_name,bid_amount,keeper,nominating_team
2020,1,1,MXLB,3117251,Christian McCaffrey,0.0,False,
2020,1,2,JAGB,3929630,Saquon Barkley,0.0,False,
2020,1,3,GFM,3139477,Patrick Mahomes,0.0,False,
2020,1,4,LNO,3116593,Dalvin Cook,0.0,False,
2020,1,5,CHLK,3051392,Ezekiel Elliott,0.0,False,
2020,1,6,DKEG,3043078,Derrick Henry,0.0,False,
2020,1,7,PCX,2976316,Michael Thomas,0.0,False,
2020,1,8,BRIM,16460,Adam Thielen,0.0,False,
2020,1,9,PITB,3054850,Alvin Kamara,0.0,False,
2020,1,10,WZRD,4047365,Josh Jacobs,0.0,False,
2020,1,11,MRYJ,3116385,Joe Mixon,0.0,False,
2020,1,12,SBB,3128720,Nick Chubb,0.0,False,
2020,2,1,MXLB,3116165,Chris Godwin,0.0,False,
2020,2,2,JAGB,3042519,Aaron Jones,0.0,False,
2020,2,3,GFM,15847,Travis Kelce,0.0,False,
2020,2,4,LNO,13982,Julio Jones,0.0,False,
2020,2,5,CHLK,3116406,Tyreek Hill,0.0,False,
2020,2,6,DKEG,16800,Davante Adams,0.0,False,
2020,2,7,PCX,2979843,Kenyan Drake,0.0,False,
2020,2,8,BRIM,2977644,Todd Gurley II,0.0,False,
2020,2,9,PITB,4045163,Miles Sanders,0.0,False,
2020,2,10,WZRD,15795,DeAndre Hopkins,0.0,False,
2020,2,11,MRYJ,4242214,Clyde Edwards-Helaire,0.0,False,
2020,2,12,SBB,3068267,Austin Ekeler,0.0,False,
2020,3,1,SBB,3919596,Chris Carson,0.0,False,
2020,3,2,MRYJ,3128429,Courtland Sutton,0.0,False,
2020,3,3,WZRD,3120348,JuJu Smith-Schuster,0.0,False,
2020,3,4,PITB,16799,Allen Robinson II,0.0,False,
2020,3,5,BRIM,2976499,Amari Cooper,0.0,False,
2020,3,6,PCX,16733,Odell Beckham Jr.,0.0,False,
2020,3,7,DKEG,3115364,Leonard Fournette,0.0,False,
2020,3,8,CHLK,4242335,Jonathan Taylor,0.0,False,
2020,3,9,LNO,2974858,Kenny Golladay,0.0,False,
2020,3,10,GFM,3045147,James Conner,0.0,False,
2020,3,11,JAGB,16737,Mike Evans,0.0,False,
2020,3,12,MXLB,3040151,George Kittle,0.0,False,
2020,4,1,MXLB,4040761,Devin Singletary,0.0,False,
2020,4,2,JAGB,2576925,Darren Waller,0.0,False,
2020,4,3,GFM,13981,Mark Ingram II,0.0,False,
2020,4,4,LNO,15880,Robert Woods,0.0,False,
2020,4,5,CHLK,3925357,Calvin Ridley,0.0,False,
2020,4,6,DKEG,2977187,Cooper Kupp,0.0,False,
2020,4,7,PCX,15825,Le'Veon Bell,0.0,False,
2020,4,8,BRIM,2576434,Melvin Gordon III,0.0,False,
2020,4,9,PITB,3915416,DJ Moore,0.0,False,
2020,4,10,WZRD,2508176,David Johnson,0.0,False,
2020,4,11,MRYJ,14881,Russell Wilson,0.0,False,
2020,4,12,SBB,4047646,A.J. Brown,0.0,False,
2020,5,1,SBB,2576623,DeVante Parker,0.0,False,
2020,5,2,MRYJ,3115394,DJ Chark Jr.,0.0,False,
2020,5,3,WZRD,2976212,Stefon Diggs,0.0,False,
2020,5,4,PITB,15835,Zach Ertz,0.0,False,
2020,5,5,BRIM,3128721,Sony Michel,0.0,False,
2020,5,6,PCX,13983,A.J. Green,0.0,False,
2020,5,7,DKEG,2577417,Dak Prescott,0.0,False,
2020,5,8,CHLK,2576414,Raheem Mostert,0.0,False,
2020,5,9,LNO,2577327,Tyler Lockett,0.0,False,
2020,5,10,GFM,14924,T.Y. Hilton,0.0,False,
2020,5,11,JAGB,15818,Keenan Allen,0.0,False,
2020,5,12,MXLB,3121422,Terry McLaurin,0.0,False,
2020,6,1,MXLB,3912550,Ronald Jones II,0.0,False,
2020,6,2,JAGB,8439,Aaron Rodgers,0.0,False,
2020,6,3,GFM,3059915,Kareem Hunt,0.0,False,
2020,6,4,LNO,4035538,David Montgomery,0.0,False,
2020,6,5,CHLK,3916387,Lamar Jackson,0.0,False,
2020,6,6,DKEG,4240021,Cam Akers,0.0,False,
2020,6,7,PCX,3116365,Mark Andrews,0.0,False,
2020,6,8,BRIM,3122840,Deshaun Watson,0.0,False,
2020,6,9,PITB,3060022,Jordan Howard,0.0,False,
2020,6,10,WZRD,4259545,D'Andre Swift,0.0,False,
2020,6,11,MRYJ,4047650,DK Metcalf,0.0,False,
2020,6,12,SBB,4036348,Michael Gallup,0.0,False,
2020,7,1,SBB,4241372,Marquise Brown,0.0,False,
2020,7,2,MRYJ,2979477,Tevin Coleman,0.0,False,
2020,7,3,WZRD,12649,Julian Edelman,0.0,False,
2020,7,4,PITB,11237,Matt Ryan,0.0,False,
2020,7,5,BRIM,11283,DeSean Jackson,0.0,False,
2020,7,6,PCX,4048244,Alexander Mattison,0.0,False,
2020,7,7,DKEG,3126486,Deebo Samuel,0.0,False,
2020,7,8,CHLK,13229,Rob Gronkowski,0.0,False,
