week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,GRFM,MRYJ,105.56,101.0,GRFM,4.56
1,2,LNDS,JGBM,79.82,86.5,JGBM,6.68
1,3,MXBN,FYOU,124.74,109.04,MXBN,15.7
1,4,SSS,COCK,121.82,79.84,SSS,41.98
1,5,WTWZ,BRIM,91.46,81.16,WTWZ,10.3
1,6,DKGG,PTBS,108.76,52.64,DKGG,56.12
2,1,PTBS,JGBM,92.52,113.28,JGBM,20.76
2,2,COCK,MRYJ,79.98,83.68,MRYJ,3.7
2,3,DKGG,WTWZ,92.44,64.34,DKGG,28.1
2,4,FYOU,BRIM,92.82,60.58,FYOU,32.24
2,5,SSS,GRFM,81.94,75.66,SSS,6.28
2,6,MXBN,LNDS,101.84,85.38,MXBN,16.46
3,1,GRFM,WTWZ,70.66,74.3,WTWZ,3.64
3,2,COCK,PTBS,78.52,72.98,COCK,5.54
3,3,JGBM,MXBN,106.7,78.24,JGBM,28.46
3,4,BRIM,LNDS,90.82,66.92,BRIM,23.9
3,5,DKGG,SSS,103.68,101.34,DKGG,2.34
3,6,MRYJ,FYOU,103.04,96.9,MRYJ,6.14
4,1,BRIM,PTBS,79.68,124.88,PTBS,45.2
4,2,DKGG,MXBN,76.08,126.22,MXBN,50.14
4,3,COCK,GRFM,83.02,72.88,COCK,10.14
4,4,LNDS,MRYJ,120.9,92.58,LNDS,28.32
4,5,FYOU,JGBM,109.7,100.02,FYOU,9.68
4,6,SSS,WTWZ,98.12,98.94,WTWZ,0.82
5,1,WTWZ,FYOU,102.46,95.8,WTWZ,6.66
5,2,MRYJ,SSS,87.12,60.94,MRYJ,26.18
5,3,DKGG,COCK,107.54,141.04,COCK,33.5
5,4,BRIM,JGBM,88.56,68.08,BRIM,20.48
5,5,MXBN,PTBS,102.04,77.06,MXBN,24.98
5,6,LNDS,GRFM,122.84,108.6,LNDS,14.24
6,1,PTBS,WTWZ,114.6,119.84,WTWZ,5.24
6,2,MXBN,MRYJ,105.9,99.62,MXBN,6.28
6,3,JGBM,GRFM,107.3,71.52,JGBM,35.78
6,4,FYOU,SSS,105.54,91.54,FYOU,14.0
6,5,DKGG,BRIM,97.56,104.88,BRIM,7.32
6,6,COCK,LNDS,66.14,71.52,LNDS,5.38
7,1,PTBS,FYOU,117.36,72.74,PTBS,44.62
7,2,SSS,MXBN,55.52,118.06,MXBN,62.54
7,3,GRFM,BRIM,85.34,141.12,BRIM,55.78
7,4,WTWZ,MRYJ,66.9,80.6,MRYJ,13.7
7,5,COCK,JGBM,150.22,101.46,COCK,48.76
7,6,LNDS,DKGG,107.08,80.4,LNDS,26.68
8,1,FYOU,LNDS,107.84,123.34,LNDS,15.5
8,2,MXBN,WTWZ,156.0,93.58,MXBN,62.42
8,3,SSS,JGBM,74.12,117.8,JGBM,43.68
8,4,GRFM,DKGG,155.16,135.82,GRFM,19.34
8,5,BRIM,COCK,109.44,96.46,BRIM,12.98
8,6,PTBS,MRYJ,112.16,88.18,PTBS,23.98
9,1,JGBM,WTWZ,104.16,81.14,JGBM,23.02
9,2,GRFM,PTBS,112.32,56.14,GRFM,56.18
9,3,MRYJ,DKGG,74.12,105.5,DKGG,31.38
9,4,LNDS,SSS,91.98,102.62,SSS,10.64
9,5,BRIM,MXBN,92.42,81.92,BRIM,10.5
9,6,FYOU,COCK,112.58,96.76,FYOU,15.82
