week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,GRFM,MRYJ,103.0,117.0,MRYJ,14.0
1,2,LNDS,ACHK,122.0,148.0,ACHK,26.0
1,3,MXBN,PTBS,100.0,70.0,MXBN,30.0
1,4,JGBM,BRIM,85.0,120.0,BRIM,35.0
1,5,DKGG,COCK,97.0,86.0,DKGG,11.0
1,6,WTWZ,SSS,100.0,97.0,WTWZ,3.0
2,1,JGBM,ACHK,91.0,103.0,ACHK,12.0
2,2,LNDS,GRFM,56.0,98.0,GRFM,42.0
2,3,MXBN,COCK,128.0,142.0,COCK,14.0
2,4,PTBS,DKGG,84.0,113.0,DKGG,29.0
2,5,MRYJ,WTWZ,74.0,128.0,WTWZ,54.0
2,6,BRIM,SSS,88.0,102.0,SSS,14.0
3,1,ACHK,MXBN,94.0,117.0,MXBN,23.0
3,2,COCK,WTWZ,62.0,80.0,WTWZ,18.0
3,3,MRYJ,LNDS,64.0,129.0,LNDS,65.0
3,4,PTBS,BRIM,88.0,63.0,PTBS,25.0
3,5,GRFM,JGBM,93.0,100.0,JGBM,7.0
3,6,SSS,DKGG,70.0,90.0,DKGG,20.0
4,1,BRIM,LNDS,134.0,149.0,LNDS,15.0
4,2,WTWZ,ACHK,75.0,86.0,ACHK,11.0
4,3,COCK,GRFM,83.0,77.0,COCK,6.0
4,4,DKGG,MXBN,109.0,127.0,MXBN,18.0
4,5,MRYJ,JGBM,92.0,107.0,JGBM,15.0
4,6,PTBS,SSS,86.0,122.0,SSS,36.0
5,1,DKGG,BRIM,96.0,97.0,BRIM,1.0
5,2,MRYJ,ACHK,86.0,105.0,ACHK,19.0
5,3,WTWZ,GRFM,88.0,146.0,GRFM,58.0
5,4,PTBS,LNDS,60.0,136.0,LNDS,76.0
5,5,SSS,COCK,89.0,80.0,SSS,9.0
5,6,JGBM,MXBN,118.0,92.0,JGBM,26.0
6,1,BRIM,GRFM,61.0,62.0,GRFM,1.0
6,2,PTBS,MRYJ,64.0,112.0,MRYJ,48.0
6,3,DKGG,JGBM,109.0,84.0,DKGG,25.0
6,4,ACHK,COCK,122.0,80.0,ACHK,42.0
6,5,MXBN,WTWZ,78.0,61.0,MXBN,17.0
6,6,LNDS,SSS,112.0,55.0,LNDS,57.0
7,1,GRFM,DKGG,75.0,117.0,DKGG,42.0
7,2,SSS,MRYJ,64.0,90.0,MRYJ,26.0
7,3,ACHK,PTBS,74.0,88.0,PTBS,14.0
7,4,COCK,LNDS,77.0,92.0,LNDS,15.0
7,5,JGBM,WTWZ,74.0,98.0,WTWZ,24.0
7,6,BRIM,MXBN,67.0,71.0,MXBN,4.0
8,1,MXBN,GRFM,59.0,102.0,GRFM,43.0
8,2,LNDS,JGBM,91.0,91.0,TIE,0.0
8,3,MRYJ,DKGG,85.0,109.0,DKGG,24.0
8,4,BRIM,WTWZ,96.0,67.0,BRIM,29.0
8,5,SSS,ACHK,78.0,75.0,SSS,3.0
8,6,COCK,PTBS,92.0,109.0,PTBS,17.0
9,1,SSS,JGBM,85.0,164.0,JGBM,79.0
9,2,MXBN,MRYJ,72.0,132.0,MRYJ,60.0
9,3,DKGG,LNDS,59.0,97.0,LNDS,38.0
9,4,GRFM,ACHK,87.0,91.0,ACHK,4.0
9,5,WTWZ,PTBS,81.0,97.0,PTBS,16.0
9,6,COCK,BRIM,77.0,83.0,BRIM,6.0
10,1,WTWZ,DKGG,66.0,85.0,DKGG,19.0
10,2,ACHK,BRIM,78.0,89.0,BRIM,11.0
10,3,LNDS,MXBN,85.0,96.0,MXBN,11.0
10,4,COCK,MRYJ,71.0,111.0,MRYJ,40.0
10,5,JGBM,PTBS,78.0,79.0,PTBS,1.0
10,6,GRFM,SSS,75.0,94.0,SSS,19.0
11,1,WTWZ,JGBM,90.0,73.0,WTWZ,17.0
11,2,MXBN,SSS,92.0,114.0,SSS,22.0
11,3,DKGG,GRFM,128.0,73.0,DKGG,55.0
11,4,LNDS,COCK,69.0,95.0,COCK,26.0
11,5,PTBS,ACHK,113.0,119.0,ACHK,6.0
11,6,BRIM,MRYJ,79.0,84.0,MRYJ,5.0
12,1,LNDS,WTWZ,98.0,86.0,LNDS,12.0
12,2,MXBN,JGBM,76.0,99.0,JGBM,23.0
12,3,GRFM,PTBS,80.0,75.0,GRFM,5.0
12,4,COCK,SSS,64.0,57.0,COCK,7.0
12,5,ACHK,MRYJ,104.0,96.0,ACHK,8.0
12,6,BRIM,DKGG,69.0,95.0,DKGG,26.0
13,1,GRFM,BRIM,86.0,140.0,BRIM,54.0
13,2,WTWZ,MXBN,91.0,84.0,WTWZ,7.0
13,3,ACHK,DKGG,84.0,102.0,DKGG,18.0
13,4,JGBM,COCK,144.0,76.0,JGBM,68.0
13,5,SSS,LNDS,94.0,60.0,SSS,34.0
13,6,MRYJ,PTBS,107.0,102.0,MRYJ,5.0
14,1,DKGG,AWAY,85.0,0.0,DKGG,85.0
14,2,JGBM,MRYJ,87.0,134.0,MRYJ,47.0
14,3,LNDS,SSS,154.0,105.0,LNDS,49.0
14,4,ACHK,AWAY,93.0,0.0,ACHK,93.0
14,5,COCK,WTWZ,87.0,76.0,COCK,11.0
14,6,PTBS,GRFM,99.0,68.0,PTBS,31.0
14,7,BRIM,MXBN,89.0,77.0,BRIM,12.0
15,1,DKGG,MRYJ,102.0,98.0,DKGG,4.0
15,2,ACHK,LNDS,116.0,134.0,LNDS,18.0
15,3,JGBM,SSS,114.0,62.0,JGBM,52.0
15,4,COCK,MXBN,147.0,82.0,COCK,65.0
15,5,PTBS,BRIM,85.0,56.0,PTBS,29.0
15,6,WTWZ,GRFM,85.0,101.0,GRFM,16.0
16,1,DKGG,LNDS,92.0,65.0,DKGG,27.0
16,2,ACHK,MRYJ,91.0,84.0,ACHK,7.0
16,3,JGBM,SSS,102.0,126.0,SSS,24.0
