year,round,round_pick,team_abbrev,player_id,player_name,bid_amount,keeper,nominating_team
2022,1,1,MRYJ,4242335,Jonathan Taylor,0.0,False,
2022,1,2,SSBB,3043078,Derrick Henry,0.0,False,
2022,1,3,JAGB,4241457,Najee Harris,0.0,False,
2022,1,4,MXLB,3116593,Dalvin Cook,0.0,False,
2022,1,5,CHLK,3117251,Christian McCaffrey,0.0,False,
2022,1,6,TACT,3068267,Austin Ekeler,0.0,False,
2022,1,7,GFM,4262921,Justin Jefferson,0.0,False,
2022,1,8,BRIM,2977187,Cooper Kupp,0.0,False,
2022,1,9,TFF,3116385,Joe Mixon,0.0,False,
2022,1,10,PCX,4362628,Ja'Marr Chase,0.0,False,
2022,1,11,WZRD,3126486,Deebo Samuel,0.0,False,
2022,1,12,LNO,2976212,Stefon Diggs,0.0,False,
2022,2,1,LNO,3054850,Alvin Kamara,0.0,False,
2022,2,2,WZRD,4259545,D'Andre Swift,0.0,False,
2022,2,3,PCX,3128720,Nick Chubb,0.0,False,
2022,2,4,TFF,3929630,Saquon Barkley,0.0,False,
2022,2,5,BRIM,3115364,Leonard Fournette,0.0,False,
2022,2,6,GFM,15847,Travis Kelce,0.0,False,
2022,2,7,TACT,3042519,Aaron Jones,0.0,False,
2022,2,8,CHLK,16800,Davante Adams,0.0,False,
2022,2,9,MXLB,3918298,Josh Allen,0.0,False,
2022,2,10,JAGB,4241389,CeeDee Lamb,0.0,False,
2022,2,11,SSBB,4361579,Javonte Williams,0.0,False,
2022,2,12,MRYJ,3116365,Mark Andrews,0.0,False,
2022,3,1,MRYJ,3116406,Tyreek Hill,0.0,False,
2022,3,2,SSBB,3045147,James Conner,0.0,False,
2022,3,3,JAGB,3051392,Ezekiel Elliott,0.0,False,
2022,3,4,MXLB,4239996,Travis Etienne Jr.,0.0,False,
2022,3,5,CHLK,4047646,A.J. Brown,0.0,False,
2022,3,6,TACT,4035538,David Montgomery,0.0,False,
2022,3,7,GFM,3139477,Patrick Mahomes,0.0,False,
2022,3,8,BRIM,4047365,Josh Jacobs,0.0,False,
2022,3,9,TFF,4038941,Justin Herbert,0.0,False,
2022,3,10,PCX,4427366,Breece Hall,0.0,False,
2022,3,11,WZRD,4360294,Antonio Gibson,0.0,False,
2022,3,12,LNO,16737,Mike Evans,0.0,False,
2022,4,1,LNO,4239993,Tee Higgins,0.0,False,
2022,4,2,WZRD,3915416,DJ Moore,0.0,False,
2022,4,3,PCX,15807,Cordarrelle Patterson,0.0,False,
2022,4,4,TFF,15818,Keenan Allen,0.0,False,
2022,4,5,BRIM,3916387,Lamar Jackson,0.0,False,
2022,4,6,GFM,4360238,Dameon Pierce,0.0,False,
2022,4,7,TACT,3040151,George Kittle,0.0,False,
2022,4,8,CHLK,4360248,Kyle Pitts,0.0,False,
2022,4,9,MXLB,4035687,Michael Pittman Jr.,0.0,False,
2022,4,10,JAGB,4241985,J.K. Dobbins,0.0,False,
2022,4,11,SSBB,3917315,Kyler Murray,0.0,False,
2022,4,12,MRYJ,3925347,Damien Harris,0.0,False,
2022,5,1,MRYJ,4047650,DK Metcalf,0.0,False,
2022,5,2,SSBB,3045138,Mike Williams,0.0,False,
2022,5,3,JAGB,2576925,Darren Waller,0.0,False,
2022,5,4,MXLB,3121422,Terry McLaurin,0.0,False,
2022,5,5,CHLK,4241555,Elijah Mitchell,0.0,False,
2022,5,6,TACT,3932905,Diontae Johnson,0.0,False,
2022,5,7,GFM,4242214,Clyde Edwards-Helaire,0.0,False,
2022,5,8,BRIM,16460,Adam Thielen,0.0,False,
2022,5,9,TFF,3117256,Dalton Schultz,0.0,False,
2022,5,10,PCX,3128429,Courtland Sutton,0.0,False,
2022,5,11,WZRD,4045163,Miles Sanders,0.0,False,
2022,5,12,LNO,4040715,Jalen Hurts,0.0,False,
2022,6,1,LNO,4040761,Devin Singletary,0.0,False,
2022,6,2,WZRD,3116165,Chris Godwin,0.0,False,
2022,6,3,PCX,16731,Brandin Cooks,0.0,False,
2022,6,4,TFF,4374302,Amon-Ra St. Brown,0.0,False,
2022,6,5,BRIM,4360939,Rashod Bateman,0.0,False,
2022,6,6,GFM,4241372,Marquise Brown,0.0,False,
2022,6,7,TACT,4239934,AJ Dillon,0.0,False,
2022,6,8,CHLK,3915511,Joe Burrow,0.0,False,
2022,6,9,MXLB,4240021,Cam Akers,0.0,False,
2022,6,10,JAGB,4567048,Kenneth Walker III,0.0,False,
2022,6,11,SSBB,4569173,Rhamondre Stevenson,0.0,False,
2022,6,12,MRYJ,4040655,Darnell Mooney,0.0,False,
2022,7,1,MRYJ,14881,Russell Wilson,0.0,False,
2022,7,2,SSBB,3128390,Allen Lazard,0.0,False,
2022,7,3,JAGB,4241463,Jerry Jeudy,0.0,False,
2022,7,4,MXLB,4372016,Jaylen Waddle,0.0,False,
2022,7,5,CHLK,16799,Allen Robinson II,0.0,False,
2022,7,6,TACT,3120348,JuJu Smith-Schuster,0.0,False,
2022,7,7,GFM,3059915,Kareem Hunt,0.0,False,
2022,7,8,BRIM,15835,Zach Ertz,0.0,False,
2022,7,9,TFF,2976316,Michael Thomas,0.0,False,
2022,7,10,PCX,3119195,Chase Edmonds,0.0,False,
2022,7,11,WZRD,4241478,DeVonta Smith,0.0,False,
2022,7,12,LNO,15795,DeAndre Hopkins,0.0,False,
2022,8,1,LNO,3121023,Dallas Goedert,0.0,False,
2022,8,2,WZRD,2577417,Dak Prescott,0.0,False,
2022,8,3,PCX,3895856,Christian Kirk,0.0,False,
2022,8,4,TFF,4372414,Elijah Moore,0.0,False,
2022,8,5,BRIM,2576434,Melvin Gordon III,0.0,False,
2022,8,6,GFM,4243537,Gabe Davis,0.0,False,
2022,8,7,TACT,2976499,Amari Cooper,0.0,False,
2022,8,8,CHLK,4360438,Brandon Aiyuk,0.0,False,
2022,8,9,MXLB,4036133,T.J. Hockenson,0.0,False,
2022,8,10,JAGB,4567156,Treylon Burks,0.0,False,
2022,8,11,SSBB,3135321,Hunter Renfrow,0.0,False,
2022,8,12,MRYJ,3916148,Tony Pollard,0.0,False,
2022,9,1,MRYJ,4361370,Chris Olave,0.0,False,
2022,9,2,SSBB,3930086,Dawson Knox,0.0,False,
2022,9,3,JAGB,2330,Tom Brady,0.0,False,
2022,9,4,MXLB,2577327,Tyler Lockett,0.0,False,
2022,9,5,CHLK,4379399,James Cook,0.0,False,
2022,9,6,TACT,8439,Aaron Rodgers,0.0,False,
2022,9,7,GFM,4052042,James Robinson,0.0,False,
2022,9,8,BRIM,4046692,Chase Claypool,0.0,False,
2022,9,9,TFF,4426502,Drake London,0.0,False,
2022,9,10,PCX,4258595,Cole Kmet,0.0,False,
2022,9,11,WZRD,3116164,Mike Gesicki,0.0,False,
2022,9,12,LNO,3139925,Rashaad Penny,0.0,False,
2022,10,1,LNO,3045144,Tyler Boyd,0.0,False,
2022,10,2,WZRD,4040980,Irv Smith Jr.,0.0,False,
2022,10,3,PCX,4697815,Rachaad White,0.0,False,
2022,10,4,TFF,3123076,David Njoku,0.0,False,
2022,10,5,BRIM,4048244,Alexander Mattison,0.0,False,
2022,10,6,GFM,4569618,Garrett Wilson,0.0,False,
2022,10,7,TACT,4426891,Isaiah Spiller,0.0,False,
2022,10,8,CHLK,2576414,Raheem Mostert,0.0,False,
2022,10,9,MXLB,4240657,Michael Carter,0.0,False,
2022,10,10,JAGB,15880,Robert Woods,0.0,False,
2022,10,11,SSBB,4430191,Skyy Moore,0.0,False,
2022,10,12,MRYJ,4035886,Khalil Herbert,0.0,False,
2022,11,1,MRYJ,4360310,Trevor Lawrence,0.0,False,
2022,11,2,SSBB,4240600,Kadarius Toney,0.0,False,
2022,11,3,JAGB,2979843,Kenyan Drake,0.0,False,
2022,11,4,MXLB,4383351,Trey Lance,0.0,False,
2022,11,5,CHLK,3125116,D'Onta Foreman,0.0,False,
2022,11,6,TACT,12483,Matthew Stafford,0.0,False,
2022,11,7,GFM,4373626,Tyler Allgeier,0.0,False,
2022,11,8,BRIM,2576623,DeVante Parker,0.0,False,
2022,11,9,TFF,4361777,Zamir White,0.0,False,
2022,11,10,PCX,4241474,Brian Robinson Jr.,0.0,False,
2022,11,11,WZRD,14880,Kirk Cousins,0.0,False,
2022,11,12,LNO,15683,Justin Tucker,0.0,False,
2022,12,1,LNO,4039359,Darrell Henderson Jr.,0.0,False,
2022,12,2,WZRD,2974858,Kenny Golladay,0.0,False,
2022,12,3,PCX,4426354,George Pickens,0.0,False,
2022,12,4,TFF,3051926,Gus Edwards,0.0,False,
2022,12,5,BRIM,16790,Jarvis Landry,0.0,False,
2022,12,6,GFM,4426475,Tyrion Davis-Price,0.0,False,
2022,12,7,TACT,2980453,Jamaal Williams,0.0,False,
2022,12,8,CHLK,3051738,Marquez Valdes-Scantling,0.0,False,
2022,12,9,MXLB,4372485,Rondale Moore,0.0,False,
2022,12,10,JAGB,4360078,Alec Pierce,0.0,False,
2022,12,11,SSBB,3046439,Hunter Henry,0.0,False,
2022,12,12,MRYJ,4361411,Pat Freiermuth,0.0,False,
2022,13,1,MRYJ,3912550,Ronald Jones,0.0,False,
2022,13,2,SSBB,4036348,Michael Gallup,0.0,False,
2022,13,3,JAGB,4371733,Kenneth Gainwell,0.0,False,
2022,13,4,MXLB,3916430,Nyheim Hines,0.0,False,
2022,13,5,CHLK,16757,Derek Carr,0.0,False,
2022,13,6,TACT,4361432,Romeo Doubs,0.0,False,
2022,13,7,GFM,-16002,Bills D/ST,0.0,False,
2022,13,8,BRIM,3051909,Daniel Carlson,0.0,False,
2022,13,9,TFF,3116389,Samaje Perine,0.0,False,
2022,13,10,PCX,-16027,Buccaneers D/ST,0.0,False,
2022,13,11,WZRD,13981,Mark Ingram II,0.0,False,
2022,13,12,LNO,3115378,Russell Gage,0.0,False,
2022,14,1,LNO,3916433,Jakobi Meyers,0.0,False,
2022,14,2,WZRD,15072,Marvin Jones Jr.,0.0,False,
2022,14,3,PCX,3917232,Tyler Bass,0.0,False,
2022,14,4,TFF,4360234,Evan McPherson,0.0,False,
2022,14,5,BRIM,-16016,Vikings D/ST,0.0,False,
2022,14,6,GFM,16782,Jerick McKinnon,0.0,False,
2022,14,7,TACT,3930066,Van Jefferson,0.0,False,
2022,14,8,CHLK,-16025,49ers D/ST,0.0,False,
2022,14,9,MXLB,4241416,Chuba Hubbard,0.0,False,
2022,14,10,JAGB,-16006,Cowboys D/ST,0.0,False,
2022,14,11,SSBB,3139605,Marlon Mack,0.0,False,
2022,14,12,MRYJ,3045523,Kendrick Bourne,0.0,False,
2022,15,1,MRYJ,11122,Matt Prater,0.0,False,
2022,15,2,SSBB,-16014,Rams D/ST,0.0,False,
2022,15,3,JAGB,4361409,Jahan Dotson,0.0,False,
2022,15,4,MXLB,-16018,Saints D/ST,0.0,False,
2022,15,5,CHLK,4249087,Matt Gay,0.0,False,
2022,15,6,TACT,3055899,Harrison Butker,0.0,False,
2022,15,7,GFM,16339,Brandon McManus,0.0,False,
2022,15,8,BRIM,3122840,Deshaun Watson,0.0,False,
2022,15,9,TFF,-16033,Ravens D/ST,0.0,False,
2022,15,10,PCX,11237,Matt Ryan,0.0,False,
2022,15,11,WZRD,-16028,Commanders D/ST,0.0,False,
2022,15,12,LNO,-16011,Colts D/ST,0.0,False,
