year,round,round_pick,team_abbrev,player_id,player_name,bid_amount,keeper,nominating_team
2011,1,1,COCK,2549,Michael Vick,0.0,False,
2011,1,2,GFM,12514,LeSean McCoy,0.0,False,
2011,1,3,2SCM,9646,Maurice Jones-Drew,0.0,False,
2011,1,4,BBWZ,11289,Ray Rice,0.0,False,
2011,1,5,SWEE,2580,Drew Brees,0.0,False,
2011,1,6,PTB,10452,Adrian Peterson,0.0,False,
2011,1,7,GOW,11257,Rashard Mendenhall,0.0,False,
2011,1,8,KNAB,11258,Chris Johnson,0.0,False,
2011,1,9,AC,11307,Jamaal Charles,0.0,False,
2011,1,10,DKGG,8439,Aaron Rodgers,0.0,False,
2011,1,11,MJI,4461,Andre Johnson,0.0,False,
2011,1,12,BBRS,12497,Arian Foster,0.0,False,
2011,2,1,BBRS,1428,Peyton Manning,0.0,False,
2011,2,2,MJI,10447,Calvin Johnson,0.0,False,
2011,2,3,DKGG,8475,Vincent Jackson,0.0,False,
2011,2,4,AC,5528,Larry Fitzgerald,0.0,False,
2011,2,5,KNAB,9638,Greg Jennings,0.0,False,
2011,2,6,GOW,2330,Tom Brady,0.0,False,
2011,2,7,PTB,5536,Ben Roethlisberger,0.0,False,
2011,2,8,SWEE,5679,Michael Turner,0.0,False,
2011,2,9,BBWZ,5529,Philip Rivers,0.0,False,
2011,2,10,2SCM,8479,Frank Gore,0.0,False,
2011,2,11,GFM,8442,Roddy White,0.0,False,
2011,2,12,COCK,11461,Peyton Hillis,0.0,False,
2011,3,1,COCK,11283,DeSean Jackson,0.0,False,
2011,3,2,GFM,5549,Steven Jackson,0.0,False,
2011,3,3,2SCM,11237,Matt Ryan,0.0,False,
2011,3,4,BBWZ,10147,Miles Austin,0.0,False,
2011,3,5,SWEE,9611,Santonio Holmes,0.0,False,
2011,3,6,PTB,12601,Mike Wallace,0.0,False,
2011,3,7,GOW,9613,DeAngelo Williams,0.0,False,
2011,3,8,KNAB,11278,Matt Forte,0.0,False,
2011,3,9,AC,2578,Reggie Wayne,0.0,False,
2011,3,10,DKGG,12586,Hakeem Nicks,0.0,False,
2011,3,11,MJI,13213,LeGarrette Blount,0.0,False,
2011,3,12,BBRS,10467,Dwayne Bowe,0.0,False,
2011,4,1,BBRS,11754,BenJarvus Green-Ellis,0.0,False,
2011,4,2,MJI,5362,Antonio Gates,0.0,False,
2011,4,3,DKGG,11325,Jermichael Finley,0.0,False,
2011,4,4,AC,13215,Dez Bryant,0.0,False,
2011,4,5,KNAB,5615,Matt Schaub,0.0,False,
2011,4,6,GOW,2584,Chad Ochocinco,0.0,False,
2011,4,7,PTB,12561,Austin Collie,0.0,False,
2011,4,8,SWEE,12500,Shonn Greene,0.0,False,
2011,4,9,BBWZ,13205,Jahvid Best,0.0,False,
2011,4,10,2SCM,12569,Percy Harvin,0.0,False,
2011,4,11,GFM,9705,Brandon Marshall,0.0,False,
2011,4,12,COCK,11458,Steve Johnson,0.0,False,
2011,5,1,COCK,12516,Knowshon Moreno,0.0,False,
2011,5,2,GFM,12579,Jeremy Maclin,0.0,False,
2011,5,3,2SCM,5941,Wes Welker,0.0,False,
2011,5,4,BBWZ,13489,Mike Williams,0.0,False,
2011,5,5,SWEE,12563,Michael Crabtree,0.0,False,
2011,5,6,PTB,11329,Mario Manningham,0.0,False,
2011,5,7,GOW,4482,Dallas Clark,0.0,False,
2011,5,8,KNAB,9838,Marques Colston,0.0,False,
2011,5,9,AC,9592,Vernon Davis,0.0,False,
2011,5,10,DKGG,10693,Ahmad Bradshaw,0.0,False,
2011,5,11,MJI,11238,Darren McFadden,0.0,False,
2011,5,12,BBRS,4582,Brandon Lloyd,0.0,False,
2011,6,1,BBRS,12678,Johnny Knox,0.0,False,
2011,6,2,MJI,5209,Tony Romo,0.0,False,
2011,6,3,DKGG,13204,Ryan Mathews,0.0,False,
2011,6,4,AC,13981,Mark Ingram,0.0,False,
2011,6,5,KNAB,11439,Pierre Garcon,0.0,False,
2011,6,6,GOW,4512,Anquan Boldin,0.0,False,
2011,6,7,PTB,11256,Felix Jones,0.0,False,
2011,6,8,SWEE,9684,Owen Daniels,0.0,False,
2011,6,9,BBWZ,9616,Joseph Addai,0.0,False,
2011,6,10,2SCM,4527,Jason Witten,0.0,False,
2011,6,11,GFM,10488,Sidney Rice,0.0,False,
2011,6,12,COCK,6016,Malcom Floyd,0.0,False,
2011,7,1,COCK,11362,Ryan Torain,0.0,False,
2011,7,2,GFM,14056,Daniel Thomas,0.0,False,
2011,7,3,2SCM,8419,Cedric Benson,0.0,False,
2011,7,4,BBWZ,1494,Hines Ward,0.0,False,
2011,7,5,SWEE,12525,Beanie Wells,0.0,False,
2011,7,6,PTB,13232,Jimmy Graham,0.0,False,
2011,7,7,GOW,13982,Julio Jones,0.0,False,
2011,7,8,KNAB,9475,Ryan Grant,0.0,False,
2011,7,9,AC,-16023,Steelers D/ST,0.0,False,
2011,7,10,DKGG,12556,Kenny Britt,0.0,False,
