week,matchup,home_team,away_team,home_score,away_score,winner,margin
1,1,2SCM,DKGG,128.0,129.0,DKGG,1.0
1,2,BBWZ,PTB,91.0,84.0,BBWZ,7.0
1,3,GFM,GOW,104.0,89.0,GFM,15.0
1,4,COCK,KNAB,76.0,72.0,COCK,4.0
1,5,BBRS,AC,75.0,94.0,AC,19.0
1,6,MJI,SWEE,96.0,85.0,MJI,11.0
2,1,BBRS,2SCM,89.0,74.0,BBRS,15.0
2,2,MJI,PTB,140.0,99.0,MJI,41.0
2,3,GOW,COCK,116.0,96.0,GOW,20.0
2,4,KNAB,GFM,91.0,120.0,GFM,29.0
2,5,DKGG,AC,131.0,97.0,DKGG,34.0
2,6,BBWZ,SWEE,123.0,121.0,BBWZ,2.0
3,1,2SCM,AC,122.0,106.0,2SCM,16.0
3,2,PTB,SWEE,113.0,48.0,PTB,65.0
3,3,KNAB,GOW,93.0,79.0,KNAB,14.0
3,4,MJI,GFM,119.0,98.0,MJI,21.0
3,5,COCK,DKGG,67.0,124.0,DKGG,57.0
3,6,BBWZ,BBRS,56.0,89.0,BBRS,33.0
4,1,PTB,KNAB,70.0,131.0,KNAB,61.0
4,2,SWEE,2SCM,123.0,82.0,SWEE,41.0
4,3,AC,GOW,64.0,91.0,GOW,27.0
4,4,COCK,GFM,102.0,95.0,COCK,7.0
4,5,DKGG,BBRS,156.0,145.0,DKGG,11.0
4,6,BBWZ,MJI,73.0,105.0,MJI,32.0
5,1,KNAB,BBRS,85.0,109.0,BBRS,24.0
5,2,2SCM,GOW,77.0,68.0,2SCM,9.0
5,3,BBWZ,GFM,71.0,78.0,GFM,7.0
5,4,COCK,MJI,80.0,101.0,MJI,21.0
5,5,PTB,DKGG,122.0,104.0,PTB,18.0
5,6,SWEE,AC,88.0,78.0,SWEE,10.0
6,1,2SCM,PTB,100.0,67.0,2SCM,33.0
6,2,BBWZ,GOW,75.0,94.0,GOW,19.0
6,3,GFM,DKGG,97.0,108.0,DKGG,11.0
6,4,COCK,BBRS,59.0,68.0,BBRS,9.0
6,5,MJI,AC,104.0,75.0,MJI,29.0
6,6,SWEE,KNAB,92.0,91.0,SWEE,1.0
7,1,PTB,GOW,125.0,50.0,PTB,75.0
7,2,GFM,2SCM,99.0,73.0,GFM,26.0
7,3,BBWZ,DKGG,64.0,67.0,DKGG,3.0
7,4,BBRS,MJI,107.0,79.0,BBRS,28.0
7,5,SWEE,COCK,95.0,37.0,SWEE,58.0
7,6,AC,KNAB,53.0,70.0,KNAB,17.0
8,1,2SCM,BBWZ,94.0,88.0,2SCM,6.0
8,2,GFM,PTB,144.0,93.0,GFM,51.0
8,3,GOW,DKGG,66.0,62.0,GOW,4.0
8,4,AC,COCK,70.0,88.0,COCK,18.0
8,5,SWEE,BBRS,92.0,105.0,BBRS,13.0
8,6,KNAB,MJI,69.0,101.0,MJI,32.0
9,1,KNAB,2SCM,116.0,86.0,KNAB,30.0
9,2,GOW,SWEE,106.0,78.0,GOW,28.0
9,3,GFM,BBRS,88.0,115.0,BBRS,27.0
9,4,DKGG,MJI,122.0,93.0,DKGG,29.0
9,5,BBWZ,COCK,104.0,39.0,BBWZ,65.0
9,6,AC,PTB,100.0,80.0,AC,20.0
10,1,COCK,PTB,57.0,108.0,PTB,51.0
10,2,MJI,2SCM,70.0,94.0,2SCM,24.0
10,3,BBRS,GOW,128.0,92.0,BBRS,36.0
10,4,GFM,AC,74.0,108.0,AC,34.0
10,5,KNAB,BBWZ,102.0,89.0,KNAB,13.0
10,6,SWEE,DKGG,70.0,72.0,DKGG,2.0
11,1,KNAB,SWEE,69.0,69.0,TIE,0.0
11,2,2SCM,PTB,121.0,53.0,2SCM,68.0
11,3,MJI,GOW,82.0,78.0,MJI,4.0
11,4,BBRS,COCK,118.0,75.0,BBRS,43.0
11,5,DKGG,GFM,107.0,88.0,DKGG,19.0
11,6,AC,BBWZ,107.0,105.0,AC,2.0
12,1,GOW,PTB,69.0,66.0,GOW,3.0
12,2,COCK,2SCM,75.0,111.0,2SCM,36.0
12,3,DKGG,BBWZ,84.0,95.0,BBWZ,11.0
12,4,SWEE,GFM,115.0,73.0,SWEE,42.0
12,5,BBRS,MJI,92.0,67.0,BBRS,25.0
12,6,KNAB,AC,109.0,81.0,KNAB,28.0
