season_year,week,player_id,player_name,team_id,team_code,stat_id,stat_name,original_value,corrected_value,points_impact,correction_date
2025,6,,Baker MayfieldTBQB,,,,40+ yard TD pass bonus (PTD40),-1,,,
2025,6,,Bears D/STChiD/ST,,,,Each Sack (SCK),+1,,,
2025,6,,Patriots D/STNED/ST,,,,Assisted Tackles (TKA),+3,,,
2025,7,,Jets D/STNYJD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,8,,Tyler ConklinLACTE,,,,Team Win (TW),+1,,,
2025,8,,Chris BrooksGBRBQ,,,,Team Win (TW),+1,,,
2025,8,,Rasheen AliBalRB,,,,Solo Tackles (TKS),+1,,,
2025,8,,Quentin JohnstonLACWRQ,,,,Team Win (TW),+1,,,
2025,8,,Josh OliverMinTE,,,,Team Loss (TL),+1,,,
2025,8,,Darnell WashingtonPitTE,,,,Team Loss (TL),+1,,,
2025,8,,Tai FeltonMinWR,,,,Team Loss (TL),+1,,,
2025,8,,Bears D/STChiD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,8,,Broncos D/STDenD/ST,,,,Assisted Tackles (TKA),+3,,,
2025,8,,Buccaneers D/STTBD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,8,,Ravens D/STBalD/ST,,,,Assisted Tackles (TKA),-1,,,
2025,8,,Texans D/STHouD/ST,,,,Passes Defensed (PD),+1,,,
2025,8,,Tucker FiskLACTEIR,,,,Team Win (TW),+1,,,
2025,8,,"Scott MatlockLACDT, RB",,,,Team Win (TW),+1,,,
2025,9,,Quentin JohnstonLACWRQ,,,,Receiving Target (TAR),+1,,,
2025,9,,Ladd McConkeyLACWR,,,,Receiving Target (TAR),-1,,,
2025,9,,Falcons D/STAtlD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,9,,Cowboys D/STDalD/ST,,,,Blocked Punt or FG return for TD (BLKKRTD),+1,,,
2025,9,,Broncos D/STDenD/ST,,,,Passes Defensed (PD),+1,,,
2025,9,,Vikings D/STMinD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,9,,Saints D/STNOD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,9,,Chargers D/STLACD/ST,,,,7-13 points allowed (PA7),-1,,,
2025,10,,DeAndre HopkinsBalWR,,,,Receiving Target (TAR),+1,,,
2025,10,,Bears D/STChiD/ST,,,,Passes Defensed (PD),-1,,,
2025,10,,Saints D/STNOD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,10,,Giants D/STNYGD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,10,,Seahawks D/STSeaD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,11,,Ricky PearsallSFWRQ,,,,Receiving Target (TAR),-1,,,
2025,11,,Ben SkowronekPitWRQ,,,,Assisted Tackles (TKA),+1,,,
2025,11,,Bills D/STBufD/ST,,,,Assisted Tackles (TKA),-2,,,
2025,11,,Browns D/STCleD/ST,,,,Assisted Tackles (TKA),-2,,,
2025,11,,Titans D/STTenD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,11,,Rams D/STLARD/ST,,,,Assisted Tackles (TKA),+3,,,
2025,11,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,11,,49ers D/STSFD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,11,,Jake TongesSFTE,,,,Assisted Tackles (TKA),+1,,,
2025,12,,Browns D/STCleD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,12,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),-2,,,
2025,12,,Rams D/STLARD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,12,,Giants D/STNYGD/ST,,,,Passes Defensed (PD),+1,,,
2025,12,,Jets D/STNYJD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,12,,Steelers D/STPitD/ST,,,,Passes Defensed (PD),+1,,,
2025,12,,49ers D/STSFD/ST,,,,Each Fumble Forced (FF),-1,,,
2025,13,,Tank BigsbyPhiRB,,,,Team Loss (TL),+1,,,
2025,13,,Durham SmytheChiTE,,,,Team Win (TW),+1,,,
2025,13,,Kylen GransonPhiTE,,,,Team Loss (TL),+1,,,
2025,13,,Darius CooperPhiWR,,,,Team Loss (TL),+1,,,
2025,13,,Cameron LatuPhiTEQ,,,,Team Loss (TL),+1,,,
2025,13,,Grant CalcaterraPhiTE,,,,Team Loss (TL),+1,,,
2025,13,,Bengals D/STCinD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,13,,Cowboys D/STDalD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,13,,Colts D/STIndD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,13,,Chiefs D/STKCD/ST,,,,Assisted Tackles (TKA),+1,,,
2025,13,,Vikings D/STMinD/ST,,,,Each Fumble Recovered (FR),-1,,,
2025,13,,Buccaneers D/STTBD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,14,,Colts D/STIndD/ST,,,,Passes Defensed (PD),+1,,,
2025,14,,Vikings D/STMinD/ST,,,,Passes Defensed (PD),-1,,,
2025,14,,Saints D/STNOD/ST,,,,Passes Defensed (PD),-1,,,
2025,14,,Eagles D/STPhiD/ST,,,,Each Fumble Forced (FF),-1,,,
2025,14,,Steelers D/STPitD/ST,,,,Assisted Tackles (TKA),-2,,,
2025,14,,Buccaneers D/STTBD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,15,,Tyrone Tracy Jr.NYGRB,,,,Receiving Target (TAR),+1,,,
2025,15,,Jameson WilliamsDetWR,,,,Receiving Target (TAR),+1,,,
2025,15,,Philip RiversIndQB,,,,Rushing Yards (YDS),+5,,,
2025,15,,Gage LarvadainCleWR,,,,Punt Return Yards (PR),-1,,,
2025,15,,Sione VakiDetRBQ,,,,Assisted Tackles (TKA),-1,,,
2025,15,,Lions D/STDetD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,15,,Packers D/STGBD/ST,,,,Assisted Tackles (TKA),+2,,,
2025,15,,Colts D/STIndD/ST,,,,Passes Defensed (PD),+1,,,
2025,15,,Patriots D/STNED/ST,,,,Assisted Tackles (TKA),+1,,,
2025,15,,Commanders D/STWshD/ST,,,,Assisted Tackles (TKA),+2,,,
